,Food,Variety,Calories,Fat,Carbs,Protein
531,COCA-COLA®,SMALL,140,0,39,0
532,,MEDIUM,170,0,47,0
533,,LARGE,270,0,74,0
534,,RT 44®,370,0,101,0
535,COKE ZERO®,SMALL,0,0,0,0
536,,MEDIUM,0,0,0,0
537,,LARGE,0,0,0,0
538,,RT 44®,0,0,0,0
539,DIET COKE®,SMALL,0,0,0,0
540,,MEDIUM,0,0,0,0
541,,LARGE,0,0,0,0
542,,RT 44®,0,0,0,0
543,DR PEPPER®,SMALL,130,0,38,0
544,,MEDIUM,160,0,47,0
545,,LARGE,250,0,74,0
546,,RT 44®,350,0,100,0
547,DIET DR PEPPER®,SMALL,0,0,0,0
548,,MEDIUM,0,0,0,0
549,,LARGE,0,0,0,0
550,,RT 44®,0,0,0,0
551,FANTA® ORANGE,SMALL,150,0,42,0
552,,MEDIUM,190,0,51,0
553,,LARGE,290,0,80,0
554,,RT 44®,400,0,109,0
555,HI-C® FRUIT PUNCH,WACKY PACK®,120,0,32,0
556,,SMALL,150,0,40,0
557,,MEDIUM,180,0,49,0
558,,LARGE,290,0,77,0
559,,RT 44®,390,0,105,0
560,MELLO YELLO®,SMALL,150,0,42,0
561,,MEDIUM,190,0,51,0
562,,LARGE,290,0,80,0
563,,RT 44®,400,0,109,0
564,SPRITE®,SMALL,140,0,37,0
565,,MEDIUM,170,0,46,0
566,,LARGE,270,0,72,0
567,,RT 44®,360,0,97,0
568,SPRITE ZERO™,SMALL,0,0,0,0
569,,MEDIUM,0,0,0,0
570,,LARGE,5,0,0,0
571,,RT 44®,10,0,0,0
572,BLACKBERRY† DIET GREEN ICED TEA,WACKY PACK®,0,0,2,0
573,,SMALL,0,0,3,0
574,,MEDIUM,5,0,4,0
575,,LARGE,10,0,6,0
576,,RT 44®,10,0,8,0
577,BLACKBERRY† GREEN ICED TEA,WACKY PACK®,60,0,15,0
578,,SMALL,100,0,26,0
579,,MEDIUM,120,0,32,0
580,,LARGE,210,0,55,0
581,,RT 44®,270,0,68,0
582,BLACKBERRY† SWEET ICED TEA,WACKY PACK®,80,0,22,0
583,,SMALL,140,0,37,0
584,,MEDIUM,180,0,46,0
585,,LARGE,300,0,78,0
586,,RT 44®,380,0,98,0
587,BLACKBERRY† UNSWEET ICED TEA,WACKY PACK®,0,0,1,0
588,,SMALL,0,0,1,0
589,,MEDIUM,5,0,2,0
590,,LARGE,10,0,3,0
591,,RT 44®,10,0,4,0
592,DIET GREEN†† ICED TEA,WACKY PACK®,0,0,2,0
593,,SMALL,0,0,3,0
594,,MEDIUM,0,0,3,0
595,,LARGE,5,0,5,0
596,,RT 44®,10,0,7,0
597,LEMON DIET GREEN†† ICED TEA,WACKY PACK®,0,0,1,0
598,,SMALL,5,0,1,0
599,,MEDIUM,5,0,2,0
600,,LARGE,10,0,3,0
601,,RT 44®,15,0,4,0
602,LEMON GREEN ICED TEA,WACKY PACK®,60,0,16,0
603,,SMALL,100,0,26,0
604,,MEDIUM,130,0,33,0
605,,LARGE,220,0,56,0
606,,RT 44®,270,0,70,0
607,LEMON SWEET ICED TEA,WACKY PACK®,90,0,22,0
608,,SMALL,150,0,38,0
609,,MEDIUM,180,0,47,0
610,,LARGE,310,0,79,0
611,,RT 44®,380,0,100,0
612,LEMON UNSWEET ICED TEA,WACKY PACK®,0,0,1,0
613,,SMALL,5,0,2,0
614,,MEDIUM,5,0,2,0
615,,LARGE,10,0,4,0
616,,RT 44®,15,0,5,0
617,MANGO† DIET GREEN ICED TEA,WACKY PACK®,0,0,2,0
618,,SMALL,0,0,3,0
619,,MEDIUM,0,0,3,0
620,,LARGE,10,0,6,0
621,,RT 44®,10,0,7,0
622,MANGO† GREEN ICED TEA,WACKY PACK®,60,0,15,0
623,,SMALL,100,0,26,0
624,,MEDIUM,120,0,31,0
625,,LARGE,210,0,54,0
626,,RT 44®,260,0,67,0
627,MANGO† SWEET ICED TEA,WACKY PACK®,90,0,23,0
628,,SMALL,150,0,38,0
629,,MEDIUM,180,0,47,0
630,,LARGE,300,0,79,0
631,,RT 44®,380,0,99,0
632,MANGO† UNSWEET ICED TEA,WACKY PACK®,0,0,1,0
633,,SMALL,0,0,1,0
634,,MEDIUM,0,0,1,0
635,,LARGE,10,0,2,0
636,,RT 44®,10,0,3,0
637,MINUTE MAID® CRANBERRY** DIET GREEN†† ICED TEA,WACKY PACK®,5,0,2,0
638,,SMALL,5,0,4,0
639,,MEDIUM,5,0,4,0
640,,LARGE,15,0,8,0
641,,RT 44®,20,0,10,0
642,MINUTE MAID® CRANBERRY** GREEN ICED TEA,WACKY PACK®,60,0,16,0
643,,SMALL,100,0,27,0
644,,MEDIUM,130,0,32,0
645,,LARGE,220,0,56,0
646,,RT 44®,280,0,71,0
647,MINUTE MAID® CRANBERRY** UNSWEET ICED TEA,WACKY PACK®,5,0,2,0
648,,SMALL,5,0,2,0
649,,MEDIUM,10,0,4,0
650,,LARGE,20,0,5,0
651,,RT 44®,25,0,25,0
652,MINUTE MAID® CRANBERRY** SWEET ICED TEA,WACKY PACK®,90,0,23,0
653,,SMALL,150,0,38,0
654,,MEDIUM,180,0,47,0
655,,LARGE,310,0,80,0
656,,RT 44®,390,0,101,0
657,PEACH† DIET GREEN ICED TEA,WACKY PACK®,0,0,2,0
658,,SMALL,0,0,3,0
659,,MEDIUM,0,0,3,0
660,,LARGE,5,0,6,0
661,,RT 44®,10,0,7,0
662,PEACH† GREEN ICED TEA,WACKY PACK®,60,0,15,0
663,,SMALL,100,0,26,0
664,,MEDIUM,120,0,31,0
665,,LARGE,210,0,54,0
666,,RT 44®,260,0,67,0
667,PEACH† SWEET ICED TEA,WACKY PACK®,80,0,22,0
668,,SMALL,140,0,37,0
669,,MEDIUM,180,0,45,0
670,,LARGE,300,0,78,0
671,,RT 44®,380,0,97,0
672,PEACH† UNSWEET ICED TEA,WACKY PACK®,0,0,1,0
673,,SMALL,0,0,1,0
674,,MEDIUM,0,0,1,0
675,,LARGE,5,0,2,0
676,,RT 44®,10,0,3,0
677,RASPBERRY† DIET GREEN ICED TEA,WACKY PACK®,0,0,2,0
678,,SMALL,0,0,3,0
679,,MEDIUM,0,0,3,0
680,,LARGE,5,0,6,0
681,,RT 44®,10,0,7,0
682,RASPBERRY† GREEN ICED TEA,WACKY PACK®,60,0,15,0
683,,SMALL,100,0,26,0
684,,MEDIUM,120,0,31,0
685,,LARGE,210,0,54,0
686,,RT 44®,260,0,67,0
687,RASPBERRY† SWEET ICED TEA,WACKY PACK®,80,0,22,0
688,,SMALL,140,0,37,0
689,,MEDIUM,180,0,45,0
690,,LARGE,300,0,78,0
691,,RT 44®,380,0,97,0
692,RASPBERRY† UNSWEET ICED TEA,WACKY PACK®,0,0,1,0
693,,SMALL,0,0,1,0
694,,MEDIUM,0,0,1,0
695,,LARGE,5,0,2,0
696,,RT 44®,10,0,3,0
697,SWEET GREEN ICED TEA,WACKY PACK®,60,0,15,0
698,,SMALL,100,0,26,0
699,,MEDIUM,120,0,31,0
700,,LARGE,210,0,54,0
701,,RT 44®,260,0,67,0
702,SWEET ICED TEA,WACKY PACK®,80,0,22,0
703,,SMALL,140,0,37,0
704,,MEDIUM,170,0,45,0
705,,LARGE,300,0,78,0
706,,RT 44®,370,0,97,0
707,UNSWEET ICED TEA,WACKY PACK®,0,0,1,0
708,,SMALL,0,0,1,0
709,,MEDIUM,0,0,1,0
710,,LARGE,5,0,2,0
711,,RT 44®,10,0,3,0
712,MINUTE MAID® APPLE JUICE,BOX,90,0,24,0
713,MINUTE MAID® ORANGE JUICE,SMALL,140,0,33,2
714,,MEDIUM,200,0,48,3
715,CHERRY LIMEADE,WACKY PACK®,140,0,37,0
716,,SMALL,170,0,45,0
717,,MEDIUM,230,0,61,0
718,,LARGE,340,0,91,0
719,,RT 44®,460,0,123,0
720,DIET CHERRY† LIMEADE,WACKY PACK®,15,0,3,0
721,,SMALL,15,0,3,0
722,,MEDIUM,20,0,3,0
723,,LARGE,20,0,4,0
724,,RT 44®,25,0,4,0
725,DIET LIME LIMEADE,WACKY PACK®,0,0,1,0
726,,SMALL,5,0,1,0
727,,MEDIUM,5,0,1,0
728,,LARGE,10,0,1,0
729,,RT 44®,15,0,2,0
730,LIMEADE,WACKY PACK®,110,0,30,0
731,,SMALL,140,0,38,0
732,,MEDIUM,170,0,47,0
733,,LARGE,270,0,73,0
734,,RT 44®,370,0,100,0
735,MINUTE MAID® CRANBERRY** LIMEADE,WACKY PACK®,110,0,30,0
736,,SMALL,140,0,38,0
737,,MEDIUM,170,0,47,0
