,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
168,Iced Espresso Classics - Skinny Vanilla Latte,Tall,70,0,10,1,6,100,
169,Iced Espresso Classics - Vanilla Latte,Tall,130,2.5,21,0,5,65,
170,Starbucks Doubleshot® Energy Coffee Drink,15oz Can,210,2.5,36,0,12,170,
171,Starbucks Doubleshot® Energy Mexican Mocha,15oz Can,200,3,34,1,10,170,
172,Starbucks Doubleshot® Energy Mocha Drink,15oz Can,200,2.5,33,0,12,0,
173,Starbucks Doubleshot® Energy Vanilla Drink,15oz Can,210,2.5,34,0,12,0,
174,Starbucks Doubleshot® Energy White Chocolate Drink,15oz Can,210,3,31,1,11,0,
175,Starbucks Doubleshot® Espresso Cubano,5-6oz Can,60,0,15,0,0,0,
176,Starbucks Doubleshot® Espresso Drink,5-6oz Can,140,6,18,0,4,70,
177,Starbucks Doubleshot® Espresso Salted Caramel Cream,5-6oz Can,140,5,18,0,4,135,
178,Starbucks Doubleshot® Light Espresso Drink,5-6oz Can,70,4,5,0,3,0,
179,Starbucks Doubleshot® Protein Caramel,11oz Pkg,210,2.5,34,2,20,115,
180,Starbucks Refreshers™ Raspberry Pomegranate,Tall,90,0,27,0,0,0,
181,Starbucks® Bottled Caramel Frappuccino® Coffee Drink,13-7oz Bottle,290,4.5,53,0,9,150,
182,Starbucks® Bottled Coffee Frappuccino® Coffee Drink,13-7oz Bottle,290,4.5,53,0,9,160,
183,"Starbucks® Bottled Cold Brew Black, Unsweetened",11oz Pkg,15,0,3,0,1,0,
184,Starbucks® Bottled Cold Brew Cocoa and Honey with Cream,11oz Pkg,150,4.5,24,0,5,0,
185,Starbucks® Bottled Dulce de Leche Frappuccino® Coffee Drink,13-7oz Bottle,290,4.5,53,1,9,140,
186,Starbucks® Bottled Mocha Frappuccino® Coffee Drink,9-5oz Bottle,260,4.5,47,1,9,140,
187,Starbucks® Bottled Mocha Light Frappuccino® Coffee Drink,9-5oz Bottle,100,3,12,0,6,95,
188,Starbucks® Bottled S'mores Frappuccino® Coffee Drink,9-5oz Bottle,290,4.5,53,1,9,140,
189,Starbucks® Bottled Vanilla Frappuccino® Coffee Drink,13-7oz Bottle,290,4.5,53,0,9,150,
190,Starbucks® Bottled Vanilla Light Frappuccino® Coffee Drink,13-7oz Bottle,100,3,12,0,6,95,
191,Starbucks® Doubleshot Protein Dark Chocolate,Tall,210,2.5,33,2,20,115,
192,Starbucks® Doubleshot Protein Vanilla,Tall,200,2.5,34,2,20,120,
193,Starbucks® Iced Coffee Caramel,Tall,60,0,13,0,1,0,
194,Starbucks® Iced Coffee Light Sweetened,Tall,50,0,11,0,1,0,
195,Starbucks® Iced Coffee Unsweetened,Tall,10,0,2,0,1,0,
