,Food,Size,Calories,Fat,Carbs,Protein
174,Meat Lover's®,62.7g,160,9g,15g,6g
175,Pepperoni,50g,120,6g,14g,4g
176,Pepperoni Lover's®,57.7g,150,8g,15g,6g
177,Supreme - Udi's®,63g,130,6g,15g,4g
178,Veggie Lover's®,63.5g,110,4g,15g,3g
179,Backyard BBQ Chicken,106.9g,260,9g,34g,11g
180,Buffalo Chicken,106.3g,240,8g,32g,10g
181,Cheese,101.7g,240,10g,29g,10g
182,Chicken-Bacon Parmesan,111.2g,260,12g,28g,12g
183,Four Pepper Pepperoni,112.8g,240,9g,29g,9g
184,Hawaiian Chicken,115.5g,230,8g,30g,11g
185,Meat Lover's®,120g,310,16g,29g,12g
186,Pepperoni,99.3g,250,11g,28g,10g
187,Pepperoni Lover's®,113.1g,300,15g,29g,12g
188,Primo Meats,115.3g,300,16g,28g,12g
189,Supreme,117.8g,270,12g,29g,10g
190,Ultimate Cheese Lover's®,102.7g,270,12g,28g,11g
191,Veggie Lover's®,116.2g,220,8g,29g,8g
192,Backyard BBQ Chicken,248.2g,570,19g,76g,25g
193,Buffalo Chicken,249.9g,520,15g,72g,23g
194,Cheese,245.6g,540,20g,65g,25g
195,Cheesy Margherita,243g,480,15g,65g,21g
196,Chicken Bacon Ranch,258.6g,610,28g,64g,25g
197,Chicken-Bacon Parmesan,267.9g,590,25g,64g,28g
198,Four Pepper Pepperoni,288.1g,520,18g,68g,22g
199,Hawaiian Chicken,282.4g,520,16g,69g,25g
200,Hawaiian Luau,258.8g,530,19g,68g,23g
201,Italian Meat Trio,258.2g,620,29g,65g,26g
202,Meat Lover's®,275.3g,670,32g,65g,29g
203,Meatball Carbonara,264g,600,26g,65g,26g
204,Pepperoni,229.9g,530,20g,64g,23g
205,Pepperoni Lover's®,264g,630,28g,66g,29g
206,Primo Meats,268.8g,660,32g,65g,28g
207,Super Supreme,337g,660,31g,69g,28g
208,Supreme,294.7g,570,23g,67g,25g
209,Veggie Lover's®,312.9g,510,17g,69g,22g
210,American Chicken Club *Local Specialty*,79g,180,9g,18g,7g
211,BBQ Beef,71.1g,160,7g,19g,7g
212,BBQ Chicken (w/ cheddar cheese),,150,6g,18g,7g
213,BBQ Chicken *Local Specialty*,80.6g,180,6g,25g,8g
214,BBQ Lover's *Local Specialty*,77.1g,200,8g,25g,7g
215,BLT *Local Specialty*,69.4g,170,9g,17g,6g
216,Bacon Cheeseburger (w/ cheddar cheese),,200,11g,17g,8g
217,Badger Special *Local Specialty*,73.5g,170,9g,17g,7g
218,Fiesta Taco (Beef),83g,190,9g,21g,7g
219,Fiesta Taco (Chicken),84.1g,170,7g,21g,7g
220,Garden Chicken *Local Specialty*,79.6g,160,6g,18g,7g
221,Garden Fresh *Local Specialty*,81.9g,150,6g,18g,6g
222,Hawaiian *Local Specialty*,69.5g,140,5g,18g,6g
223,Hawaiian Luau,66.4g,150,6g,18g,6g
224,Italian Classic,,190,11g,17g,7g
225,Ohio's Best *Local Specialty*,83.3g,180,9g,18g,7g
226,Super Supreme,90g,210,12g,18g,8g
227,Taco Pizza *Local Specialty*,79.4g,170,7g,18g,7g
228,American Chicken Club *Local Specialty*,72.9g,170,9g,16g,7g
229,BBQ Beef,66.3g,150,7g,17g,7g
230,BBQ Chicken *Local Specialty*,65.9g,150,5g,19g,7g
231,BBQ Lover's *Local Specialty*,63.7g,170,7g,19g,6g
232,BLT *Local Specialty*,65.2g,160,8g,15g,6g
233,Bacon Cheeseburger (w/ cheddar cheese),,200,11g,17g,8g
234,Badger Special *Local Specialty*,73.5g,170,17g,17g,7g
235,Fiesta Taco (Beef),83g,190,9g,21g,7g
236,Fiesta Taco (Chicken),84.1g,170,7g,21g,7g
237,Garden Chicken *Local Specialty*,79.6g,160,6g,18g,7g
238,Garden Fresh *Local Specialty*,81.9g,150,6g,18g,6g
239,Hawaiian *Local Specialty*,69.5g,140,5g,18g,6g
240,Hawaiian Luau,66.4g,150,6g,18g,6g
241,Italian Classic,,190,11g,17g,7g
242,Ohio's Best *Local Specialty*,83.3g,180,9g,18g,7g
243,Super Supreme,90g,210,12g,18g,8g
244,Taco Pizza *Local Specialty*,79.4g,170,7g,18g,7g
245,American Chicken Club *Local Specialty*,72.9g,170,9g,16g,7g
246,BBQ Beef,66.3g,150,7g,17g,7g
247,BBQ Chicken *Local Specialty*,65.9g,150,5g,19g,7g
248,BBQ Lover's *Local Specialty*,63.7g,170,7g,19g,6g
249,BLT *Local Specialty*,65.2g,160,8g,15g,6g
250,Badger Special *Local Specialty*,67.1g,160,8g,16g,6g
251,Fiesta Taco (Beef),77.4g,180,8g,19g,6g
252,Fiesta Taco (Chicken),78.5g,160,7g,19g,7g
253,Garden Chicken *Local Specialty*,69.8g,140,6g,16g,6g
254,Garden Fresh *Local Specialty*,77.9g,130,5g,17g,5g
255,Hawaiian *Local Specialty*,65.2g,130,5g,16g,6g
256,Hawaiian Luau,62.2g,140,6g,16g,5g
257,Ohio's Best *Local Specialty*,77.5g,160,8g,16g,6g
258,Super Supreme,81.6g,180,10g,16g,7g
259,Taco Pizza *Local Specialty*,75.2g,160,7g,17g,7g
260,American Chicken Club *Local Specialty*,70.9g,160,7g,17g,6g
261,BBQ Beef,65g,140,5g,18g,6g
262,BBQ Chicken *Local Specialty*,63.9g,140,3.5g,20g,7g
263,BBQ Lover's *Local Specialty*,61.8g,160,6g,20g,6g
264,BLT *Local Specialty*,63.2g,150,7g,16g,5g
265,Badger Special *Local Specialty*,65.1g,140,6g,16g,6g
266,Fiesta Taco (Beef),75.4g,170,7g,20g,6g
267,Fiesta Taco (Chicken),76.5g,150,5g,20g,6g
268,Garden Chicken *Local Specialty*,67.8g,130,4g,17g,6g
269,Garden Fresh *Local Specialty*,75.9g,120,4g,17g,5g
270,Hawaiian *Local Specialty*,62.6g,120,3.5g,17g,5g
271,Hawaiian Luau,60.9g,130,4.5g,17g,5g
272,Ohio's Best *Local Specialty*,75.8g,150,6g,17g,6g
273,Super Supreme,80.6g,170,9g,17g,7g
274,Taco Pizza *Local Specialty*,73.2g,140,6g,17g,6g
275,American Chicken Club *Local Specialty*,65.3g,140,7g,14g,6g
276,BBQ Beef,56.9g,120,4.5g,15g,6g
277,BBQ Chicken *Local Specialty*,53.3g,120,3g,17g,6g
278,BBQ Lover's *Local Specialty*,51.5g,140,6g,17g,5g
279,BLT *Local Specialty*,53.8g,130,7g,13g,5g
280,Badger Special *Local Specialty*,58.6g,130,6g,14g,6g
281,Fiesta Taco (Beef),66.2g,150,6g,17g,5g
282,Fiesta Taco (Chicken),67.3g,130,4.5g,17g,6g
283,Garden Chicken *Local Specialty*,61.3g,110,3.5g,14g,5g
284,Garden Fresh *Local Specialty*,69.4g,100,3.5g,15g,4g
285,Hawaiian *Local Specialty*,58.1g,100,3g,15g,5g
286,Hawaiian Luau,54.1g,110,4g,14g,5g
287,Italian Trio,57.8g,130,6g,14g,5g
288,Ohio's Best *Local Specialty*,71.8g,130,6g,14g,5g
289,Super Supreme,75.1g,150,8g,14g,6g
290,Taco Pizza *Local Specialty*,64g,130,5g,14g,6g
291,American Chicken Club *Local Specialty*,126.3g,310,16g,29g,11g
292,BBQ Beef,119.2g,280,13g,31g,12g
293,BBQ Chicken *Local Specialty*,113g,270,10g,33g,13g
294,BBQ Lover's *Local Specialty*,110.5g,290,13g,33g,11g
295,BLT *Local Specialty*,117.6g,300,16g,27g,10g
296,Badger Special *Local Specialty*,115.1g,270,13g,28g,11g
297,Fiesta Taco (Beef),139.2g,310,15g,35g,11g
298,Fiesta Taco (Chicken),140.3g,290,12g,35g,11g
299,Garden Chicken *Local Specialty*,119.6g,250,10g,29g,11g
300,Garden Fresh *Local Specialty*,130.8g,240,10g,29g,9g
301,Hawaiian *Local Specialty*,116.3g,240,9g,30g,10g
302,Hawaiian Luau,110g,250,10g,29g,10g
