,Food,Size/Variety,Calories,Fat,Carbs,Protein
176,Wood-Grilled,Cheeseburger,1230,68,103,47
177,,Chicken Sandwich,890,33,103,39
178,,Shrimp Skewers,290,9,33,21
179,,Tacos with Chicken,610,21,69,35
180,,Tacos with Fresh Tilapia,700,25,69,52
181,,Tacos with Lobster Meat,630,27,71,25
182,,Tacos with Shrimp,560,20,69,26
183,Create Your Own Lunch,Bay Scallops – Broiled,100,3,4,15
184,,Bay Scallops – Fried,160,4.5,19,11
185,,Chicken Breast Strips,540,37,29,22
186,,Crunch-Fried Fish,610,45,32,19
187,,Garlic-Grilled Shrimp Skewer,190,5,26,10
188,,Garlic Shrimp Scampi,150,10,2,12
189,,Hand-Breaded Shrimp,200,8,20,12
190,,Lightly Breaded Clam Strips,560,40,39,11
191,,Batterfried Crawfish*,510,32,37,18
192,Canadian Walleye*,Batterfried,590,37,26,38
193,,Blackened,220,4.5,2,41
194,,Broiled,210,4,0,40
195,,Golden-Fried,290,15,6,34
196,Classic Caesar Salad,,520,46,18,10
197,,with Chicken,640,48,19,34
198,,with Shrimp,580,46,18,24
199,,with Salmon,830,65,18,42
200,Grilled Shrimp Salad and Cup of Soup,Lobster and Langostino Bisque,420,27,28,17
201,,New England Clam Chowder,330,19,24,16
202,,Creamy Potato Bacon Soup*,390,24,33,14
203,,Manhattan Clam Chowder*,240,9,25,17
204,,Seafood Gumbo*,300,12,31,17
205,Wood-Grilled,Cheeseburger,1230,68,103,47
206,,Chicken Sandwich,890,33,103,39
207,,Chicken Tacos,610,21,69,35
208,,Fresh Tilapia Tacos,700,25,69,52
209,,Shrimp Tacos,560,20,69,26
210,Brownie OverboardTM,,680,39,79,8
211,Chocolate Wave,,1100,62,133,21
212,Key Lime Pie,,400,15,59,8
213,New York-Style Cheesecake with Strawberries,,590,41,48,9
214,Triple-Chocolate Brownie a la Mode,,430,23,48,16
215,Warm Apple Crostada,,650,32,82,19
216,Warm Chocolate Chip Lava Cookie,,920,42,126,21
217,Add Shrimp to Your Salad,,60,3,<1,7
218,Asparagus (seasonal),,60,3.5,5,3
219,Baked Potato,,210,2,45,5
220,,unsalted,210,2,45,5
221,Add Butter,,100,11,0,0
222,Add Sour Cream,,25,2,<1,0
223,Broccoli (steamed),,40,0,8,3
224,Caesar Salad,,290,25,12,5
225,Cheddar Bay Biscuits® (each),,160,10,16,3
226,Coleslaw,,260,20,17,2
227,Creamy Lobster Baked Potato,,350,11,51,14
228,Creamy Lobster Mashed Potatoes,,330,18,31,12
229,French Fries,,430,17,62,6
230,Garden Salad does not include dressing choice,,70,1.5,13,2
231,Grilled Zucchini and Squash (seasonal),,150,12,8,3
232,Mashed Potatoes,,190,9,24,4
233,Tomato-Mozzarella Caprese (seasonal),,120,8,7,7
234,Wild Rice Pilaf,,130,2.5,25,3
235,100% Pure Melted Butter,,300,33,0,0
236,Blue Cheese Dressing,,230,24,1,2
237,Butter,,100,11,0,0
238,Caesar Dressing,,300,32,<1,2
239,Champagne Vinaigrette Dressing,,70,4,9,0
240,Cocktail Sauce,,45,0,11,<1
241,Honey Mustard Dressing,,190,17,8,<1
242,Honey Mustard Dipping Sauce,,190,17,8,<1
243,Ketchup,,60,0,15,<1
244,Marinara Sauce,,35,2,4,<1
245,Mayonnaise,,250,27,1,0
246,Mustard,,0,0,0,0
247,Pico de Gallo,,10,0,2,0
248,Piña Colada Sauce,,100,4.5,14,<1
249,Ranch Dressing,,150,16,2,<1
250,Sour Cream,,25,2,<1,0
251,Tartar Sauce,,210,21,4,0
252,Thousand Island Dressing,,220,21,8,0
253,Alotta Colada™,,580,7,109,2
254,Bahama Mama,,380,0,62,<1
255,Berry Mango Daiquir,,320,0,54,<1
256,Bloody Mary,,110,0,6,0
257,Caramel Appletini,,160,0,16,0
258,Chocolate Martini,,340,2,48,3
259,Cosmopolitan,,170,0,10,0
260,Lobsterita®,Strawberry,500,0,82,<1
261,,Traditional,410,0,57,0
262,,Raspberry,500,0,82,<1
263,Malibu Hurricane,,170,0,30,0
264,Mango Mai Tai,,210,0,35,0
265,Manhattan,,160,0,8,0
266,Margarita,Classic (Frozen),220,0,30,0
267,,Classic (Rocks),120,0,8,0
268,,Grand Patrón,200,0,16,0
269,,Peach (Frozen),290,0,50,<1
270,,Peach (Rocks),170,0,20,0
271,,Perfect 1800,160,0,13,0
272,,Raspberry (Frozen),290,0,48,0
273,,Raspberry (Rocks),170,0,20,0
274,,Strawberry (Frozen),290,0,49,0
275,,Strawberry (Rocks),180,0,21,0
276,,Top-Shelf (Frozen),250,0,33,0
277,,Top-Shelf (Rocks),160,0,11,0
278,Martini,,160,1.5,1,0
279,Mojito,,200,0,32,0
280,,Strawberry,290,0,49,0
281,Mudslide,,520,22,53,6
282,Old Fashioned,,180,0,6,0
283,Piña Colada,,340,4,71,2
284,Strawberry Daiquiri,,290,0,52,<1
285,Sunset Passion Colada,,340,3.5,71,1
286,Top-Shelf Long Island Iced Tea,,190,0,16,0
287,Triple Berry Sangria,,280,0,54,<1
288,Sparkling (6 oz.),,110,0,2,0
289,White (6 oz.),,140,0,5,0
290,Blush or Red (6 oz.),,150,0,5,0
291,"White, Blush or Red (9 oz.)",,220,0,7,0
292,"White, Blush or Red (Bottle)",,490,0,27,0
293,Bud Light,14 oz,120,0,15,0
294,,20 oz,180,0,21,0
295,Sam Adams,14 oz,180,0,15,2
296,,20 oz,260,0,21,3
297,Shock Top Belgian White,14 oz,200,0,17,2
298,,20 oz,280,0,24,4
299,Barq's® Root Beer,,210,0,60,0
300,Boston Iced Tea,Classic Cranberry,80,0,21,0
301,,Peach,120,0,29,<1
302,,Raspberry,110,0,28,0
303,Classic Lemonade,,150,0,41,0
304,Coke®,,190,0,53,0
305,Diet Coke®,,0,0,0,0
306,Dr Pepper®,,200,0,54,0
307,Flavored Lemonade,Peach,260,0,67,0
308,,Raspberry,260,0,68,0
309,Fruit Smoothie,Peach,470,6,96,7
310,,Raspberry,460,6,94,7
311,,Strawberry,470,6,95,7
312,Harbor Café Coffee™,,0,0,0,0
313,Hot Tea,,0,0,0,0
314,Iced Tea,,0,0,0,0
315,Minute Maid® Light™ Lemonade,,5,0,0,0
316,Minute Maid® Raspberry Lemonade,,300,0,50,0
317,Sprite®,,200,0,52,0
318,Baileys and Coffee,,200,10,15,2
319,Irish Coffee,,200,6,17,<1
320,Casco Bay Cooler,Cherry Wave Slushy,150,0,37,0
321,,Frozen Strawberry Lemonade,390,0,97,0
322,,Peachy Breezy Smoothie,190,0,45,3
323,,Raspberry Bay Smoothie,190,0,44,3
324,,Sunset Strawberry Smoothie,190,0,44,3
325,Juice,,110,0,27,2
326,Lemonade,,140,0,37,0
327,Milk 1%,,110,2.5,13,9
328,Raspberry Lemonade,,170,0,29,0
329,Broiled Fish,,200,4.5,0,35
330,Chicken Fingers,,350,20,21,22
331,Garlic-Grilled Shrimp,,110,6,0,12
332,Grilled Chicken,,120,2,0,24
333,Macaroni and Cheese,,310,9,45,11
334,Popcorn Shrimp,,190,9,19,8
335,Snow Crab Legs,,90,1,0,20
336,Surf's Up Sundae,,170,9,20,12
