,Food,Serving Size,Calories,Fat,Carbs,Protein
663,,Small,190,4,33,5
664,French Vanilla Swirl Iced Macchiato with Skim Milk,Large,310,0,66,11
665,,Medium,240,0,49,8
666,,Small,160,0,33,6
667,French Vanilla Swirl Iced Macchiato with Whole Milk,Large,380,8,65,10
668,,Medium,280,6,49,8
669,,Small,190,4,33,5
670,Hazelnut Swirl Iced Macchiato with Skim Milk,Large,310,0,66,11
671,,Medium,240,0,50,8
672,,Small,160,0,33,6
673,Hazelnut Swirl Iced Macchiato with Whole Milk,Large,380,8,65,10
674,,Medium,290,6,49,8
675,,Small,190,4,33,5
676,Iced Macchiato with Skim Milk,Large,100,0,14,8
677,,Medium,70,0,11,6
678,,Small,50,0,8,4
679,Iced Macchiato with Whole Milk,Large,160,8,14,8
680,,Medium,120,6,11,6
681,,Small,80,4,7,4
682,Mocha Swirl Iced Macchiato with Skim Milk,Large,310,1,65,10
683,,Medium,240,1,49,8
684,,Small,160,0.5,33,5
685,Mocha Swirl Iced Macchiato with Whole Milk,Large,380,9,65,10
686,,Medium,280,7,49,7
687,,Small,190,4.5,33,5
688,Blackberry Fruited Iced Tea,Large,90,0,22,1
689,,Medium,70,0,17,1
690,,Small,50,0,13,0
691,Iced Green Tea Sweetened,Large,140,0,36,0
692,,Medium,110,0,27,0
693,,Small,70,0,18,0
694,Iced Green Tea Unsweetened,Large,10,0,2,0
695,,Medium,5,0,2,0
696,,Small,5,0,1,0
697,Iced Tea Sweetened Blueberry Flavored Tea,Large,160,0,37,0
698,,Medium,120,0,28,0
699,,Small,80,0,19,0
700,Iced Tea Sweetened,Large,140,0,36,0
701,,Medium,110,0,27,0
702,,Small,70,0,18,0
703,Iced Tea Sweetened Peach Flavored,Large,160,0,40,0
704,,Medium,120,0,30,0
705,,Small,80,0,20,0
706,Iced Tea Sweetened Raspberry Flavored,Large,160,0,40,0
707,,Medium,120,0,29,0
708,,Small,80,0,20,0
709,Iced Tea Unsweetened Blueberry Flavored Tea,Large,25,0,3,0
710,,Medium,15,0,2,0
711,,Small,10,0,2,0
712,Iced Tea Unsweetened,Large,10,0,2,0
713,,Medium,5,0,2,0
714,,Small,5,0,1,0
715,Iced Tea Unsweetened Peach Flavored,Large,25,0,6,0
716,,Medium,20,0,5,0
717,,Small,10,0,3,0
718,Iced Tea Unsweetened Raspberry Flavored,Large,25,0,6,0
719,,Medium,20,0,4,0
720,,Small,10,0,3,0
721,Mango Pineapple Fruited Iced Tea,Large,90,0,23,1
722,,Medium,70,0,18,1
723,,Small,50,0,13,0
724,Sweet Tea Blueberry Flavored,Large,340,0,84,0
725,,Medium,250,0,63,0
726,,Small,170,0,42,0
727,Sweet Tea,Large,310,0,80,0
728,,Medium,230,0,60,0
729,,Small,160,0,40,0
730,Sweet Tea Peach Flavored,Large,340,0,87,0
731,,Medium,260,0,66,0
732,,Small,170,0,44,0
733,Sweet Tea Raspberry Flavored,Large,340,0,87,0
734,,Medium,250,0,65,0
735,,Small,170,0,43,0
736,Milk Chocolate Hot Cocoa K- Cup® Pod,1 K-Cup Pod,70,3,10,1
737,Original Kolache,1 Kolache,180,9,20,10
