,Food,Type,Size,Calories,Fat,Carbs,Protein
719,Mountain Dew Code Red,,20 Oz,280,0g,78g,0g
720,,,2 Liter,950,0g,260g,0g
721,Mountain Dew Game Fuel Citrus Cherry,,20 Oz,170,0g,46g,0g
722,,,2 Liter,570,0g,156g,0g
723,Mountain Dew Livewire,,20 Oz,290,0g,77g,0g
724,Mountain Dew Voltage,,20 Oz,290,0g,76g,0g
725,,,2 Liter,980,0g,257g,0g
726,Mug Cream Soda,,20 Oz,300,0g,80g,0g
727,,,2 Liter,1010,0g,271g,0g
728,Pepsi Real Sugar,,20 Oz,250,0g,66g,0g
729,,,2 Liter,850,0g,223g,0g
730,Diet Seven Up,,20 Oz,0,0g,0g,0g
731,,,2 Liter,0,0g,0g,0g
732,Diet Wild Cherry Pepsi,,20 Oz,0,0g,0g,0g
733,,,2 Liter,0,0g,0g,0g
734,Doc X,,20 Oz,250,0g,67g,0g
735,,,2 Liter,850,0g,225g,0g
736,Dr Pepper 10,,20 Oz,20,0g,5g,0g
737,,,2 Liter,70,0g,17g,0g
738,Dr Wham,,20 Oz,250,0g,65g,0g
739,,,2 Liter,850,0g,220g,0g
740,Fanta Orange,,2 Liter,930,0g,254g,0g
741,Grapico,,20 Oz,230,0g,58g,0g
742,,,2 Liter,790,0g,197g,0g
743,Lipton Half & Half,,20 Oz,120,0g,31g,0g
744,,,2 Liter,410,0g,105g,0g
745,Mist TWST,,20 Oz,240,0g,65mg,0g
746,,,2 Liter,810,0g,220g,0g
747,Mountain Dew Game Fuel,,2 Liter,570,0g,156g,0g
748,Pepsi Throwback,,2 Liter,880,0g,227g,0g
749,Pepsi Zero Sugar,,20 Oz,0,0g,0g,0g
750,,,2 Liter,0,0g,0g,0g
751,Schweppes Ginger Ale Raspberry,,20 Oz,230,0g,63g,0g
752,,,2 Liter,790,0g,214g,0g
753,Sprite,,20 Oz,260,0g,67g,0g
754,,,2 Liter,890,0g,227g,0g
755,Sunkist Grape,,20 Oz,280,0g,77g,0g
756,,,2 Liter,960,0g,259g,0g
757,Sunkist Orange,,20 Oz,330,0g,88g,0g
758,,,2 Liter,1100,0g,296g,0g
759,Sunkist Peach,,20 Oz,280,0g,78g,0g
760,,,2 Liter,960,0g,265g,0g
761,Sunkist Strawberry,,20 Oz,280,0g,77g,0g
762,,,2 Liter,960,0g,259g,0g
763,Tropicana TWST Orange,,20 Oz,330,0g,83g,0g
764,,,2 Liter,1100,0g,279g,0g
765,Welch's Grape Soda,,20 Oz,330,0g,85g,0g
766,,,2 Liter,1100,0g,287g,0g
767,Wild Cherry Pepsi Real Sugar,,20 Oz,250,0g,66g,0g
768,,,2 Liter,850,0g,223g,0g
769,Aquafina,,20 Oz,0,0g,0g,0g
770,Aquafina Raspberry,,20 Oz,0,0g,0g,0g
771,Barq's Root Beer,,20 Oz,270,0g,75g,0g
772,Brisk Fruit Punch,,20 Oz,180,0g,48g,0g
773,Brisk Pink Lemonade,,20 Oz,180,0g,45g,0g
774,Brisk Strawberry Melon,,20 Oz,120,0g,32g,0g
775,Brisk Tea Raspberry,,20 Oz,120,0g,32g,0g
776,Cherry Coke,,20 Oz,250,0g,70g,0g
777,Dasani Water,,20 Oz,0,0g,0g,0g
778,Diet Pepsi Max,,20 Oz,0,0g,0g,0g
779,Gatorade Cool Blue,,20 Oz,160,0g,39g,0g
780,Gatorade Fierce Grape,,20 Oz,500,0g,125g,0g
781,Gatorade Fierce Blue Cherry,,20 Oz,140,0g,36g,0g
782,Gatorade Fierce Green Apple,,20 Oz,140,0g,36g,0g
783,Gatorade Fierce Melon,,20 Oz,130,0g,35g,0g
784,Gatorade Fruit Punch,,20 Oz,140,0g,36g,0g
785,,,64 Oz,450,0g,115g,0g
786,Gatorade G2 Blueberry Pomegranate,,20 Oz,50,0g,12g,0g
787,Gatorade G2 Fruit Punch,,20 Oz,45,0g,11g,0g
788,Gatorade G2 Grape,,20 Oz,160,0g,39g,0g
789,Gatorade G2 Orange,,20 Oz,50,0g,12g,0g
790,Gatorade Glacial Cherry,,20 Oz,130,0g,35g,0g
791,Gatorade Glacial Freeze,,20 Oz,160,0g,39g,0g
792,Gatorade Lemon Lime,,20 Oz,130,0g,35g,0g
793,Gatorade Lime Cucumber,,20 Oz,130,0g,34g,0g
794,Gatorade Mango Xtreme,,20 Oz,140,0g,36g,0g
795,Gatorade Orange,,20 Oz,140,0g,36g,0g
796,,,64 Oz,450,0g,115g,0g
797,Gatorade Raspberry,,20 Oz,50,0g,12g,0g
798,Gatorade Riptide Rush,,20 Oz,130,0g,34g,0g
799,Gatorade Tropical Mango,,20 Oz,140,0g,36g,0g
800,Lipton Green Tea Citrus,,20 Oz,130,0g,33g,0g
801,Lipton Green Tea Honey,,20 Oz,180,0g,48g,0g
802,Lipton Green Tea Passionfruit Mango,,20 Oz,130,0g,33g,0g
803,Lipton Half & Half,,20 Oz,120,0g,31g,0g
804,Lipton Ice Tea Lemon,,20 Oz,280,0g,65g,0g
