,Food,Size / Variety,Calories,Fat,Carbs,Protein
272,Pepsi® Zero Sugar,20 OZ,0,0,0,0
273,Sobe Lifewater® Yumberry Pomegranate - 0 Cal,20 OZ,0,0,0,0
274,Tropicana® Fruit Punch,20 OZ,280,0,75,0
275,Tropicana® Lemonade,20 OZ,260,0,67,0
276,Tropicana® Pink Lemonade,20 OZ,260,0,67,0
277,Aquafina® Sparkling Berry Breeze,30 OZ,0,0,0,0
278,Brisk® Iced Tea and Lemonade,30 OZ,160,0,42,0
279,Brisk® Mango Iced Tea,30 OZ,180,0,48,0
280,Brisk® No Calorie Peach Iced Green Tea,30 OZ,10,0,0,0
281,Brisk® Raspberry Iced Tea,30 OZ,190,0,49,0
282,Brisk® Sweet Iced Tea,30 OZ,200,0,54,0
283,Brisk® Unsweetened No Lemon Iced Tea,30 OZ,0,0,0,0
284,Diet Dr Pepper®,30 OZ,0,0,1,0
285,Diet Mtn Dew®,30 OZ,10,0,1,0
286,Diet Pepsi®,30 OZ,0,0,0,0
287,Dr Pepper®,30 OZ,360,0,98,0
288,G2 - Fruit Punch,30 OZ,50,0,13,0
289,Lipton® Brewed Iced Tea Sweetened,30 OZ,260,0,68,0
290,Lipton® Brewed Iced Tea Unsweetened,30 OZ,0,0,0,0
291,Manzanita Sol,30 OZ,400,0,109,0
292,Mist Twst®,30 OZ,380,0,101,0
293,Mtn Dew®,30 OZ,410,0,110,0
294,Mtn Dew® Baja Blast™,30 OZ,420,0,110,0
295,Mtn Dew® Code Red,30 OZ,430,0,116,0
296,Mtn Dew® Kickstart™ Orange Citrus,30 OZ,130,0,34,0
297,Mtn Dew® Spiked Lemonade,30 OZ,250,0,65,0
298,Mug® Root Beer,30 OZ,360,0,98,0
299,Pepsi®,30 OZ,380,0,104,0
300,Pepsi® Wild Cherry,30 OZ,390,0,105,0
301,Pepsi® Zero Sugar,30 OZ,0,0,0,0
302,Sobe Lifewater® Yumberry Pomegranate - 0 Cal,30 OZ,5,0,1,0
303,Tropicana® Fruit Punch,30 OZ,420,0,113,0
304,Tropicana® Lemonade,30 OZ,390,0,100,0
305,Tropicana® Pink Lemonade,30 OZ,390,0,100,0
306,Border Sauce,Diablo,0,0,0,0
307,,Fire,0,0,<1,0
308,,Hot,0,0,0,0
309,,Mild,0,0,0,0
310,Breakfast Salsa,,0,0,<1,0
