,Food,Size / Variety,Calories,Fat,Carbs,Protein
255,,Cup,170,8,21,11
256,Vegetarian Autumn Squash Soup,Bowl,340,17,44,8
257,,Bread Bowl,890,15,160,32
258,,Cup,230,11,29,5
259,Vegetarian Creamy Tomato Soup,Bowl,280,13,36,6
260,,Bread Bowl,860,12,155,31
261,,Cup,200,9,25,4
262,Asiago Cheese Loaf,,150,4,23,7
263,Cinnamon Raisin Swirl Loaf,,190,6,31,5
264,Classic White Loaf,,150,2,28,5
265,Classic White Miche,,150,2,27,5
266,Honey Wheat Loaf,,140,3,24,4
267,Sourdough Bread Bowl,,660,3,132,23
268,Sourdough Loaf,,140,0.5,28,5
269,Sourdough XL Loaf,,140,0.5,28,5
270,Tomato Basil XL Loaf,,150,1,28,6
271,Bear Claw,,540,31,59,9
272,Cinnamon Roll,,670,25,100,13
273,Cobblestone,,560,12,102,11
274,Pecan Roll,,720,46,69,11
275,Southwest Chicken Tortilla Broth Bowl,,480,16,50,19
276,Four Cheese Souffle,,410,28,38,15
277,Spinach & Artichoke Souffle,,520,33,39,18
278,Spinach & Bacon Souffle,,550,35,37,20
279,BBQ Chicken Flatbread (1),,380,16,41,12
280,BBQ Chicken Flatbread (2),,760,33,82,23
281,Roasted Turkey Cranberry Flatbread (1),,310,12,36,11
282,Roasted Turkey Cranberry Flatbread (2),,630,24,71,22
283,Tomato Mozzarella Flatbread (1),,350,18,35,6
284,Tomato Mozzarella Flatbread (2),,690,36,71,11
285,Asiago Cheese Focaccia Loaf,,150,3,24,6
286,Asiago Cheese Loaf,,150,4,23,7
287,Ciabatta Loaf,,150,1.5,27,5
288,Cinnamon Raisin Swirl Loaf,,190,6,31,5
289,Classic White Loaf,,150,2,28,5
290,Classic White Miche,,150,2,27,5
291,Country Loaf,,130,0.5,26,5
292,Cranberry Walnut Miche Loaf,,140,2.5,25,6
293,French Baguette,,150,0.5,29,5
294,Hoagie Roll,,380,4.5,70,12
295,Holiday Bread,,170,4.5,30,4
296,Honey Wheat Loaf,,140,3,24,4
297,Rye Pan Loaf,,130,0.5,24,6
298,Sea Salt Focaccia Loaf,,160,2,30,6
299,Sesame Semolina Miche,,140,1,30,5
300,Soft Dinner Roll,,190,3.5,32,6
301,Sourdough Bread Bowl,,660,3,132,23
302,Sourdough Loaf,,140,0.5,28,5
303,Sourdough XL Loaf,,140,0.5,28,5
304,Sprouted Grain Roll,,170,1,33,6
305,Tomato Basil XL Loaf,,150,1,28,6
306,Whole Grain Loaf,,130,1,26,6
307,Chicken Tortellini Alfredo,,750,39,68,31
308,"Mac & Cheese, Bread Bowl",,"1,140",35,166,43
309,Mac & Cheese,Large,950,61,71,33
310,,Small,470,30,36,17
311,Ancient Grain & Arugula Salad with Chicken,Half,200,7,19,12
312,,Whole,400,14,38,25
313,Asian Sesame Salad with Chicken,Half,200,10,14,13
314,,Whole,410,20,27,25
315,Caesar Salad with Chicken,Half,220,14,8,15
316,,Whole,450,27,17,30
317,Caesar Salad,Half,160,13,7,5
318,,Whole,320,25,14,10
319,Chinese Citrus Cashew Salad with Chicken,Half,270,14,23,12
320,,Whole,540,27,45,25
321,Fuji Apple Salad with Chicken,Half,280,17,18,14
322,,Whole,570,34,36,29
323,Greek Salad,Half,200,18,7,4
324,,Whole,400,36,13,5
325,Green Goddess Cobb Salad with Chicken,Half,280,17,12,18
326,,Whole,550,33,24,36
327,Modern Greek Salad with Quinoa,Half,260,20,14,6
328,,Whole,530,41,29,11
329,Seasonal Greens Salad,Half,90,6,10,2
330,,Whole,180,11,20,4
331,Southwest Chile Lime Ranch Salad with Chicken,Half,320,17,27,12
332,,Whole,650,34,54,24
333,Spicy Thai Salad with Chicken,Half,260,11,21,12
334,,Whole,510,22,41,25
335,Green Passion Smoothie,,200,0,51,2
336,Mango Smoothie,,290,5,50,11
337,Peach & Blueberry Smoothie with Almond Milk,,180,1,43,2
338,Strawberry Banana Smoothie,,250,3,42,6
339,Strawberry Smoothie,,280,5,47,11
340,Superfruit Smoothie with Greek yogurt,,230,5,33,11
