,Food,Size / Variety,Calories,Fat,Carbs,Protein
53,,Cup,610,37,40,31
54,Chili Mac,,860,330,104,27
55,,Supreme,1080,52,109,44
56,Applesauce,,90,0,21,0
57,Baked Beans,,290,1,62,9
58,Cottage Cheese w/Pineapple Ring,,150,6,10,14
59,Creamy Coleslaw,,140,11,10,<1
60,Salsa (1oz.),,0,0,0,0
61,Small Garden Salad,,45,1,8,2
62,Vegetable Soup,Bowl,130,3,24,3
63,,Cup,60,1.5,12,2
64,Cheese French Fries,Small,330,18,38,5
65,,Regular,620,35,69,11
66,,Large,830,44,97,13
67,Chili Cheese Fries,Small,450,26,45,10
68,,Regular,800,47,81,18
69,,Large,1190,68,120,27
70,French Fries,Small,240,11,33,2
71,,Regular,440,21,60,5
72,,Large,640,30,87,7
73,Onion Rings,Regular,440,25,48,6
74,,Large,880,50,95,13
75,Cajun Seasoned Fries,Small,250,11,33,3
76,,Regular,450,21,60,5
77,,Large,650,30,87,7
78,Parmesan Cheese 'n Herbs Seasoned Fries,Small,250,12,33,3
79,,Regular,450,21,60,5
80,,Large,650,30,87,7
81,Salt 'n Vinegar Seasoned Fries,Small,250,11,33,2
82,,Regular,450,21,60,5
83,,Large,650,30,88,7
84,Sea Salt 'n Pepper Seasoned Fries,Small,250,11,33,3
85,,Regular,450,21,60,5
86,,Large,650,30,87,7
87,Fresh Hand Cut Fries,Small,300,18,31,4
88,,Large,720,43,74,10
89,Parmesan Cheese 'n Herbs Fresh Cut Fries,Small,300,18,31,4
90,,Large,720,43,74,10
91,Salt 'n Vinegar Seasoned Fresh Cut Fries,Small,300,18,31,4
92,,Large,720,43,75,10
93,Sea Salt 'n Pepper Seasoned Fresh Cut Fries,Small,300,18,31,4
94,,Large,720,43,74,10
95,Fried Chicken Salad,,470,26,34,27
96,Garden Bowl Salad,,400,27,24,19
97,Grilled Chicken Salad,,270,10,30,26
98,Grilled Chicken Taco Salad,,590,44,34,28
99,Beef Taco Salad,,580,48,26,15
100,Small Garden Salad,,45,1,8,2
101,Blue Cheese,1 oz,130,13,1,1
102,Honey French,1 oz,120,10,8,0
103,Honey Mustard,1 oz,130,12,5,0
104,Ranch,1 oz,150,16,1,0
105,Thousand Island,1 oz,130,11,7,0
106,Light Italian,1 oz,90,9,3,<1
107,Banana Milkshake,Kids,420,10,77,12
108,,Small,420,10,77,12
109,,Regular,680,18,125,17
110,Birthday Cake Milkshake,Kids,500,15,83,12
111,,Small,500,16,83,12
112,,Regular,820,27,135,16
113,Black Raspberry Chocolate Chip Milkshake,Kids (LTO),660,31,89,14
114,,Small (LTO),660,31,89,14
115,,Regular (LTO),930,44,130,20
116,Butterfinger® Milkshake,Kids,520,16,89,12
117,,Small,520,16,89,12
118,,Regular,740,23,126,16
119,Chocolate Banana Milkshake,Kids,470,13,83,11
120,,Small,470,13,83,11
121,,Regular,690,18,126,16
122,Chocolate Covered Strawberry Milkshake,Kids,490,18,75,12
123,,Small,490,18,75,12
124,,Regular,720,25,116,17
125,Chocolate Fudge Brownie Milkshake,Kids,620,20,104,14
126,,Small,620,20,104,14
127,,Regular,960,31,163,19
128,Chocolate Milkshake,Kids,410,13,70,11
129,,Small,410,13,70,11
130,,Regular,580,18,99,15
131,Chocolate Peanut Butter Milkshake,Kids,540,23,74,17
132,,Small,540,24,74,17
133,,Regular,920,43,119,28
134,Cookie Dough Milkshake,Kids,520,15,88,12
135,,Small,520,15,88,12
136,,Regular,740,23,125,16
137,Dark Chocolate Milkshake,Kids,460,14,78,12
138,,Small,460,14,78,12
139,,Regular,680,22,116,16
140,Double Chocolate Fudge Milkshake,Kids,550,17,93,13
141,,Small,550,17,93,13
142,,Regular,880,29,147,18
143,Egg Nog Milkshake,Kids,380,10,66,11
144,,Small,380,10,66,11
145,,Regular,610,19,104,15
146,Heath Bar Milkshake,Kids,510,18,80,13
147,,Small,510,18,80,13
148,,Regular,730,26,114,17
149,M&M's® Milkshake,Kids,550,17,92,12
150,,Small,550,17,92,12
