,Food,Size / Variety,Calories,Fat,Carbs,Protein
253,Onion Rings,,260,14,32,4
254,Poutine,Large,1280,67,131,37
255,,Small,610,32,60,18
256,Banana Cream Pie Blizzard,Mini,410,14,63,8
257,,Small,610,20,98,11
258,,Medium,800,24,133,13
259,,Large,1100,32,188,19
260,Choco Cherry Love Blizzard,Mini,320,11,50,7
261,,Small,560,22,83,11
262,,Medium,850,35,122,15
263,,Large,1230,51,175,21
264,Chocolate Xtreme Blizzard,Mini,410,17,59,8
265,,Small,640,27,90,12
266,,Medium,820,35,116,15
267,,Large,1140,50,161,21
268,Cookie Dough Blizzard,Mini,420,16,64,8
269,,Small,720,27,107,12
270,,Medium,1040,40,155,17
271,,Large,1340,52,200,21
272,CrispyCrunch ® Blizzard,Mini,360,12,55,8
273,,Small,500,17,76,11
274,,Medium,810,29,121,16
275,,Large,1070,39,160,21
276,Double Fudge Cookie Dough Blizzard,Mini,450,18,66,8
277,,Small,760,31,110,13
278,,Medium,1020,41,148,16
279,,Large,1190,46,177,20
280,French Silk Pie Blizzard,Mini,450,20,61,8
281,,Small,700,31,96,12
282,,Medium,850,38,116,14
283,,Large,1190,53,163,20
284,Georgia Mud Fudge ® Blizzard,Mini,420,19,56,9
285,,Small,660,33,83,13
286,,Medium,860,44,106,16
287,,Large,1190,62,148,22
288,Hawaiian Blizzard,Mini,300,9,49,7
289,,Small,440,14,70,9
290,,Medium,600,19,98,12
291,,Large,830,25,137,16
292,Kit Kat ® Blizzard,Mini,360,12,56,8
293,,Small,630,21,98,13
294,,Medium,860,30,131,18
295,,Large,1130,38,176,23
296,Mint Oreo® Blizzard,Mini,410,14,64,8
297,,Small,670,23,105,12
298,,Medium,860,30,137,14
299,,Large,1240,43,196,21
300,Oreo ® Cookies Blizzard,Mini,380,13,59,8
301,,Small,620,22,95,12
302,,Medium,800,29,121,14
303,,Large,1160,42,176,21
304,Oreo ® CheeseQuake ® Blizzard,Mini,380,14,56,8
305,,Small,570,22,81,11
306,,Medium,780,31,110,15
307,,Large,1080,43,152,21
308,Reese ® Peanut Butter Cups ® Blizzard,Mini,360,14,53,9
309,,Small,590,23,83,14
310,,Medium,760,31,107,18
311,,Large,1020,42,144,24
312,Rolo ® Blizzard,Mini,380,13,59,8
313,,Small,650,23,98,12
314,,Medium,990,37,148,16
315,,Large,1350,52,202,21
316,Skor® Blizzard,Mini,390,15,56,7
317,,Small,610,25,87,11
318,,Medium,880,37,124,15
319,,Large,1180,49,165,20
320,Smarties ® Blizzard,Mini,380,12,61,8
321,,Small,660,21,106,13
322,,Medium,850,28,135,16
323,,Large,1160,37,187,22
324,Strawberry CheeseQuake ® Blizzard,Mini,330,11,49,7
325,,Small,530,18,78,12
326,,Medium,700,24,104,15
327,,Large,930,32,140,20
328,Turtle Pecan Cluster Blizzard,Mini,410,18,55,8
329,,Small,680,30,92,13
330,,Medium,960,47,123,16
331,,Large,1330,66,168,22
332,Banana Slices,,25,0,7,0
333,Caramel Topping,,90,0.5,21,0.5
334,Cheesecake Pieces,,100,6,10,2
335,Brownie Pieces,,120,6,17,2
336,Choco Chunks,,150,10,17,1
337,Cookie Dough Pieces,,130,6,19,1
338,Chocolate Topping,,70,0.2,18,0
339,Cocoa Fudge,,140,10,16,1
340,Coconut Flakes,,170,13,13,1
341,CrispyCrunch Pieces,,130,5,20,1
342,Kit Kat Pieces,,150,8,18,2
343,Hot Fudge Topping,,100,3.5,15,0
344,Oreo Cookie Pieces,,140,6,20,1
345,Peanuts,,160,14,5,8
346,Pecan Pieces,,200,21,4,3
347,Reese Peanut Butter Cups Pieces,,140,9,16,3
348,Rolo Pieces,,140,8,17,1
349,Skor Pieces,,160,9,18,1
350,Smarties Pieces,,130,4,23,1
351,Strawberry Topping,,35,0,9,0.1
352,Whipped Topping,,45,3.5,3,0
353,"Shake, Caramel",Small,570,19,89,13
354,,Medium,780,23,126,16
355,,Large,1010,28,168,22
356,"Shake, Cherry",Small,520,18,77,12
357,,Medium,660,21,103,15
358,,Large,840,26,133,20
359,"Shake, Chocolate",Small,550,18,86,13
360,,Medium,730,22,120,16
361,,Large,950,26,159,21
362,"Shake, Coffee",Small,520,20,72,13
363,,Medium,640,24,91,16
364,,Large,810,29,116,21
365,"Shake, Hot Fudge",Small,580,22,83,13
366,,Medium,780,28,115,17
367,,Large,1020,36,152,22
368,"Shake, Raspberry",Small,540,18,82,12
369,,Medium,710,21,114,15
370,,Large,910,26,149,20
371,"Shake, Strawberry",Small,520,18,77,12
372,,Medium,660,21,102,15
373,,Large,840,26,132,20
374,"Shake, Vanilla",Small,540,18,83,12
375,,Medium,690,22,107,16
376,,Large,890,28,140,21
