,Food,Size/Variety,Calories,Fat,Carbs,Protein
214,Fountain Drink (Dr Pepper),KID'S (12 oz),70,0,20,0
215,,SMALL (20 oz),120,0,33,0
216,,MEDIUM (30 oz),180,0,49,0
217,,MACHO (42 oz),250,0,68,0
218,Fountain Drink (Fanta Orange),KID'S (12 oz),120,0,33,0
219,,SMALL (20 oz),200,0,55,0
220,,MEDIUM (30 oz),300,0,82,0
221,,MACHO (42 oz),420,0,115,0
222,Fountain Drink (Fuze Raspberry Ice Tea),KID'S (12 oz),60,0,17,0
223,,SMALL (20 oz),110,0,29,0
224,,MEDIUM (30 oz),160,0,43,0
225,,MACHO (42 oz),220,0,60,0
226,Fountain Drink (Hi C Fruit Punch),KID'S (12 oz),0,0,1,0
227,,SMALL (20 oz),5,0,2,0
228,,MEDIUM (30 oz),10,0,2,0
229,,MACHO (42 oz),10,0,3,0
230,Fountain Drink (Minute Maid Light Lemonade),KID'S (12 oz),0,0,1,0
231,,SMALL (20 oz),10,0,2,0
232,,MEDIUM (30 oz),10,0,4,0
233,,MACHO (42 oz),15,0,5,0
234,Fountain Drink (Mr. Pibb Xtra),KID'S (12 oz),100,0,28,0
235,,SMALL (20 oz),170,0,47,0
236,,MEDIUM (30 oz),260,0,71,0
237,,MACHO (42 oz),360,0,99,0
238,Fountain Drink (Power Aid Blue Mountain Blast),KID'S (12 oz),60,0,16,0
239,,SMALL (20 oz),100,0,27,0
240,,MEDIUM (30 oz),160,0,41,0
241,,MACHO (42 oz),220,0,58,0
242,Fountain Drink (Sprite),KID'S (12 oz),110,0,29,0
243,,SMALL (20 oz),180,0,48,0
244,,MEDIUM (30 oz),270,0,72,0
245,,MACHO (42 oz),380,0,101,0
246,Gold Peak Tea,KID'S (12 oz),0,0,0,0
247,,SMALL (20 oz),0,0,0,0
248,,MEDIUM (30 oz),0,0,0,0
249,,MACHO (42 oz),0,0,0,0
